method,k,alpha,beta,uncapped,cap_weight,vocabulary_size,zero_percentage_before_smoothing,overall_silhouette_score,weight_min,weight_max,weight_mean,negative_entries_before_cleanup,min_symmetric_score_before_cleanup,max_symmetric_score_before_cleanup
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,,13097936.0,75.14597956765728,0.3563565117104846,334.7924973670692,7418.506183862085,4889.40219894097,0.0,0.0,6331.467895803406
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,0.1,1.0,True,,,,0.3563565116529607,,,,,,
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,1.0,True,,13097936.0,75.14597956765728,0.3504603036371079,334.7924973670692,7418.506183862085,4889.40219894097,0.0,0.0,536.4709012079455
SIWKL_inverse_sqrt_G_beta_true_uncapped,15,1.0,1.0,True,,,,0.3504603035389646,,,,,,
