method,k,alpha,beta,vocab_size,avg_real_kmers,alpha_pseudo_mass,alpha_pseudo_real_ratio,silhouette_score,mean_functional_silhouette,mean_pathological_silhouette,mean_within_class_distance,mean_between_class_distance,within_between_ratio,dunn_index,nearest_neighbor_accuracy,matrix_file
SIWKL,15,1.0,1.0,199251,227870.9,199251.0,0.8744030062636344,0.044396251871926314,-0.017443400971244038,0.10623590471509667,0.0018396333275131388,0.0019248063611021027,0.9557498170672111,0.9049289342326731,0.8,SIWKL_matrix_k15_alpha1p0_beta1p0.txt
SIWKL,15,1.0,0.1,199251,227870.9,199251.0,0.8744030062636344,0.04363329825082812,-0.017107494441686154,0.1043740909433424,0.0018113652114441867,0.0018937302061486083,0.9565064788864871,0.9058656669191265,0.8,SIWKL_matrix_k15_alpha1p0_beta0p1.txt
SIWKL,15,1.0,0.01,199251,227870.9,199251.0,0.8744030062636344,0.043519231393300925,-0.017067258697118778,0.10410572148372063,0.0018072992832557841,0.0018892555873251692,0.9566197900277644,0.905997350939787,0.8,SIWKL_matrix_k15_alpha1p0_beta0p01.txt
SIWKL,15,1.0,0.001,199251,227870.9,199251.0,0.8744030062636344,0.04350721422913958,-0.01706313945887832,0.10407756791715747,0.0018068730448904161,0.0018887864458884825,0.9566317297668162,0.9060111198664218,0.8,SIWKL_matrix_k15_alpha1p0_beta0p001.txt
SIWKL,15,1.0,0.0001,199251,227870.9,199251.0,0.8744030062636344,0.04350600601126754,-0.017062726529469767,0.10407473855200484,0.0018068302123586167,0.0018887393014351778,0.9566329302226508,0.9060125031381041,0.8,SIWKL_matrix_k15_alpha1p0_beta0p0001.txt
SIWKL,15,1.0,1e-06,199251,227870.9,199251.0,0.8744030062636344,0.04350587303466248,-0.01706268109601474,0.1040744271653397,0.0018068254984490322,0.0018887341129727908,0.956633062345214,0.906012655369241,0.8,SIWKL_matrix_k15_alpha1p0_beta1em06.txt
SIWKL,15,0.1,1.0,199251,227870.9,19925.100000000002,0.08744030062636345,0.04411401672427564,-0.006349022924522739,0.09457705637307401,0.010744349782841212,0.011240165758766857,0.9558889088856248,0.9065060074435018,1.0,SIWKL_matrix_k15_alpha0p1_beta1p0.txt
SIWKL,15,0.1,0.1,199251,227870.9,19925.100000000002,0.08744030062636345,0.043345580281662174,-0.006258763353196502,0.09294992391652086,0.010584508637160867,0.011064062106643947,0.9566566542323448,0.9074407465784333,1.0,SIWKL_matrix_k15_alpha0p1_beta0p1.txt
SIWKL,15,0.1,0.01,199251,227870.9,19925.100000000002,0.08744030062636345,0.043230518553005394,-0.006252837478415607,0.0927138745844264,0.010561476641033452,0.011038659561773127,0.9567716607193721,0.9075716228486044,1.0,SIWKL_matrix_k15_alpha0p1_beta0p01.txt
SIWKL,15,0.1,0.001,199251,227870.9,19925.100000000002,0.08744030062636345,0.04321839466572242,-0.0062523045580657206,0.09268909388951056,0.01055906166686722,0.011035995691689546,0.9567837793574464,0.9075853006901924,1.0,SIWKL_matrix_k15_alpha0p1_beta0p001.txt
