method,k,alpha,beta,uncapped,vocabulary_size,zero_percentage_before_smoothing,zero_probs_after_alpha_smoothing,weight_min,weight_max,weight_mean,negative_entries_before_cleanup,min_symmetric_score_before_cleanup,max_symmetric_score_before_cleanup,overall_silhouette_score
SIWKL_inverse_G_global_beta_true_uncapped,21,0.1,0.01,True,219315,4.18603379,0,2.306187146743e+03,2.258259554455e+06,3.099426570024e+05,0,0.000000000000e+00,2.355669210338e+04,0.01452929
SIWKL_inverse_G_global_beta_true_uncapped,21,0.1,0.1,True,219315,4.18603379,0,2.325933171570e+03,2.091436818182e+06,3.028797984247e+05,0,0.000000000000e+00,2.199872370437e+04,0.01542909
SIWKL_inverse_G_global_beta_true_uncapped,21,0.1,1.0,True,219315,4.18603379,0,2.523195959596e+03,1.248982000000e+06,2.669256670128e+05,0,0.000000000000e+00,1.410370297010e+04,0.02270912
SIWKL_inverse_G_global_beta_true_uncapped,21,1.0,0.001,True,219315,4.18603379,0,2.304212346600e+03,2.276591723277e+06,3.107181489648e+05,0,0.000000000000e+00,3.841596868218e+03,0.01451584
SIWKL_inverse_G_global_beta_true_uncapped,21,1.0,0.01,True,219315,4.18603379,0,2.306187146743e+03,2.258259554455e+06,3.099426570024e+05,0,0.000000000000e+00,3.813947089669e+03,0.01460834
SIWKL_inverse_G_global_beta_true_uncapped,21,1.0,0.1,True,219315,4.18603379,0,2.325933171570e+03,2.091436818182e+06,3.028797984247e+05,0,0.000000000000e+00,3.562222726046e+03,0.01551225
SIWKL_inverse_G_global_beta_true_uncapped,21,1.0,1.0,True,219315,4.18603379,0,2.523195959596e+03,1.248982000000e+06,2.669256670128e+05,0,0.000000000000e+00,2.286395817507e+03,0.02282249
SIWKL_inverse_G_global_beta_true_uncapped,31,0.001,0.001,True,236913,5.87215560,0,1.199354694449e+04,2.276509403596e+06,3.480613424500e+05,0,0.000000000000e+00,1.158106813301e+05,0.01900443
SIWKL_inverse_G_global_beta_true_uncapped,31,0.001,0.01,True,236913,5.87215560,0,1.200420046313e+04,2.258334782178e+06,3.470027060910e+05,0,0.000000000000e+00,1.149836145054e+05,0.01911666
SIWKL_inverse_G_global_beta_true_uncapped,31,0.001,0.1,True,236913,5.87215560,0,1.211068016833e+04,2.092945727273e+06,3.373740282113e+05,0,0.000000000000e+00,1.074553171174e+05,0.02021222
SIWKL_inverse_G_global_beta_true_uncapped,31,0.001,1.0,True,236913,5.87215560,0,1.316995811518e+04,1.257731000000e+06,2.890017844824e+05,0,0.000000000000e+00,6.935450430149e+04,0.02900668
SIWKL_inverse_G_global_beta_true_uncapped,31,0.01,0.001,True,236913,5.87215560,0,1.199354694449e+04,2.276509403596e+06,3.480613424500e+05,0,0.000000000000e+00,7.665764499473e+04,0.01901496
SIWKL_inverse_G_global_beta_true_uncapped,31,0.01,0.01,True,236913,5.87215560,0,1.200420046313e+04,2.258334782178e+06,3.470027060910e+05,0,0.000000000000e+00,7.611025024806e+04,0.01912725
SIWKL_inverse_G_global_beta_true_uncapped,31,0.01,0.1,True,236913,5.87215560,0,1.211068016833e+04,2.092945727273e+06,3.373740282113e+05,0,0.000000000000e+00,7.112763239145e+04,0.02022345
SIWKL_inverse_G_global_beta_true_uncapped,31,0.01,1.0,True,236913,5.87215560,0,1.316995811518e+04,1.257731000000e+06,2.890017844824e+05,0,0.000000000000e+00,4.591022198594e+04,0.02902291
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,0.001,True,236913,5.87215560,0,1.199354694449e+04,2.276509403596e+06,3.480613424500e+05,0,0.000000000000e+00,3.646653940984e+04,0.01904104
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,0.01,True,236913,5.87215560,0,1.200420046313e+04,2.258334782178e+06,3.470027060910e+05,0,0.000000000000e+00,3.620620964621e+04,0.01915349
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,0.1,True,236913,5.87215560,0,1.211068016833e+04,2.092945727273e+06,3.373740282113e+05,0,0.000000000000e+00,3.383656773375e+04,0.02025125
SIWKL_inverse_G_global_beta_true_uncapped,31,0.1,1.0,True,236913,5.87215560,0,1.316995811518e+04,1.257731000000e+06,2.890017844824e+05,0,0.000000000000e+00,2.184325940855e+04,0.02906309
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,0.001,True,236913,5.87215560,0,1.199354694449e+04,2.276509403596e+06,3.480613424500e+05,0,0.000000000000e+00,5.710721703216e+03,0.01911074
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,0.01,True,236913,5.87215560,0,1.200420046313e+04,2.258334782178e+06,3.470027060910e+05,0,0.000000000000e+00,5.669982609390e+03,0.01922362
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,0.1,True,236913,5.87215560,0,1.211068016833e+04,2.092945727273e+06,3.373740282113e+05,0,0.000000000000e+00,5.299152239322e+03,0.02032555
SIWKL_inverse_G_global_beta_true_uncapped,31,1.0,1.0,True,236913,5.87215560,0,1.316995811518e+04,1.257731000000e+06,2.890017844824e+05,0,0.000000000000e+00,3.422144839086e+03,0.02917052
