,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,0.0,0.7037938870447562,0.6962487516076845,0.7053540321349365,0.7101870762743013,0.7325156296052681,0.7213802164076454,0.7166774915740963,0.7234572554941074,0.7213429741773753
sample02.functional,0.7037938870447562,0.0,0.6889423656735003,0.6981221296326328,0.6999278792359903,0.7204625024204885,0.7207382451714563,0.7132981688053152,0.7214089710373554,0.7208233037070709
sample03.functional,0.6962487516076845,0.6889423656735003,0.0,0.683767563005907,0.6954092232202118,0.7177468265059763,0.7131718947564236,0.7056465832719442,0.7138451236218678,0.7132538897913437
sample04.functional,0.7053540321349365,0.6981221296326328,0.683767563005907,0.0,0.704541934742762,0.726867857907567,0.7223281785026471,0.7112847009556801,0.7229991146075573,0.7224142252306713
sample05.functional,0.7101870762743013,0.6999278792359903,0.6954092232202118,0.704541934742762,0.0,0.719820415910496,0.7180024343561211,0.7076890382633343,0.7092449090257055,0.7273632404573419
sample06.pathological,0.7325156296052681,0.7204625024204885,0.7177468265059763,0.726867857907567,0.719820415910496,0.0,0.6720268889251773,0.6866624774632273,0.6558684870738402,0.6722755910533615
sample07.pathological,0.7213802164076454,0.7207382451714563,0.7131718947564236,0.7223281785026471,0.7180024343561211,0.6720268889251773,0.0,0.6549169269706291,0.6542546727732984,0.6650433636043112
sample08.pathological,0.7166774915740963,0.7132981688053152,0.7056465832719442,0.7112847009556801,0.7076890382633343,0.6866624774632273,0.6549169269706291,0.0,0.6409663600652887,0.6297893417987092
sample09.pathological,0.7234572554941074,0.7214089710373554,0.7138451236218678,0.7229991146075573,0.7092449090257055,0.6558684870738402,0.6542546727732984,0.6409663600652887,0.0,0.6732573252256522
sample10.pathological,0.7213429741773753,0.7208233037070709,0.7132538897913437,0.7224142252306713,0.7273632404573419,0.6722755910533615,0.6650433636043112,0.6297893417987092,0.6732573252256522,0.0
