,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,1.000000000001042,0.9946452288520413,0.9947192422451515,0.9946846775956852,0.9945380799572722,0.9948447705069625,0.9950390712359323,0.9951008269051601,0.9950595011216475,0.9949795288110518
sample02.functional,0.9946452288520413,1.0000000000014182,0.9946911148055593,0.9946990812012287,0.9947102368286161,0.9950346978695819,0.9950475300983567,0.9951083908330907,0.9950301696335678,0.9950403378062188
sample03.functional,0.9947192422451515,0.9946911148055593,1.0000000000010685,0.9948044199916066,0.9945981458910714,0.9949018926759348,0.9950310922482771,0.9951239022426,0.9950904145715606,0.9949713411393617
sample04.functional,0.9946846775956852,0.9946990812012287,0.9948044199916066,1.0000000000013953,0.9946125483186881,0.9948886757632567,0.9950196747446329,0.9951394607602587,0.9950696453273741,0.9949575438573605
sample05.functional,0.9945380799572722,0.9947102368286161,0.9945981458910714,0.9946125483186881,1.0000000000020028,0.9950633476448881,0.9950110860886507,0.995098061295515,0.9950619718599759,0.9949531774991408
sample06.pathological,0.9948447705069625,0.9950346978695819,0.9949018926759348,0.9948886757632567,0.9950633476448881,0.9999999999987818,0.9958668150944306,0.9957252968523262,0.995950603764931,0.9958114495795026
sample07.pathological,0.9950390712359323,0.9950475300983567,0.9950310922482771,0.9950196747446329,0.9950110860886507,0.9958668150944306,0.9999999999981213,0.9960341644070771,0.9959945111780761,0.9958945628052025
sample08.pathological,0.9951008269051601,0.9951083908330907,0.9951239022426,0.9951394607602587,0.995098061295515,0.9957252968523262,0.9960341644070771,0.9999999999986042,0.9961619238127161,0.9961601710637851
sample09.pathological,0.9950595011216475,0.9950301696335678,0.9950904145715606,0.9950696453273741,0.9950619718599759,0.995950603764931,0.9959945111780761,0.9961619238127161,1.0000000000012987,0.9957497096057213
sample10.pathological,0.9949795288110518,0.9950403378062188,0.9949713411393617,0.9949575438573605,0.9949531774991408,0.9958114495795026,0.9958945628052025,0.9961601710637851,0.9957497096057213,1.0000000000017653
