sample,label,class,raw_cosine_silhouette,length_weighted_cosine_silhouette
sample01.functional,0,functional,-0.08230692033788924,-0.08086120887574111
sample02.functional,0,functional,-0.07778265561592036,-0.07790822121712615
sample03.functional,0,functional,-0.0748494746849694,-0.07341622899406615
sample04.functional,0,functional,-0.07326411892623069,-0.07197521129033482
sample05.functional,0,functional,-0.08887427466024941,-0.08917113747975211
sample06.pathological,1,pathological,0.2067291319132796,0.20327161180956638
sample07.pathological,1,pathological,0.212335072043439,0.21028948420552732
sample08.pathological,1,pathological,0.21281398629064258,0.2099064308124502
sample09.pathological,1,pathological,0.22027598260535036,0.21630892600891471
sample10.pathological,1,pathological,0.2170787789627173,0.21482160039266088
