method,k,alpha,beta,uncapped,vocabulary_size,zero_percentage_before_smoothing,zero_probs_after_alpha_smoothing,weight_min,weight_max,weight_mean,negative_entries_before_cleanup,min_symmetric_score_before_cleanup,max_symmetric_score_before_cleanup,overall_silhouette_score
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.001,True,219315,4.18603379,0,4.800221189279e+01,1.508837871766e+03,5.161048379725e+02,0,0.000000000000e+00,1.894053130889e+01,0.03075750
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.01,True,219315,4.18603379,0,4.802277737431e+01,1.502750662770e+03,5.158431003070e+02,0,0.000000000000e+00,1.888336790235e+01,0.03084214
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,0.1,True,219315,4.18603379,0,4.822792937262e+01,1.446180078061e+03,5.134067262215e+02,0,0.000000000000e+00,1.835179427751e+01,0.03165111
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,0.1,1.0,True,219315,4.18603379,0,5.023142402517e+01,1.117578632580e+03,4.990479699174e+02,0,0.000000000000e+00,1.524793303909e+01,0.03728612
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,0.001,True,219315,4.18603379,0,4.800221189279e+01,1.508837871766e+03,5.161048379725e+02,0,0.000000000000e+00,3.077955938825e+00,0.03100498
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,0.01,True,219315,4.18603379,0,4.802277737431e+01,1.502750662770e+03,5.158431003070e+02,0,0.000000000000e+00,3.068719820176e+00,0.03109005
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,0.1,True,219315,4.18603379,0,4.822792937262e+01,1.446180078061e+03,5.134067262215e+02,0,0.000000000000e+00,2.982830327262e+00,0.03190305
SIWKL_inverse_sqrt_G_beta_true_uncapped,21,1.0,1.0,True,219315,4.18603379,0,5.023142402517e+01,1.117578632580e+03,4.990479699174e+02,0,0.000000000000e+00,2.481303570465e+00,0.03756549
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.001,0.001,True,236913,5.87215560,0,1.095150535063e+02,1.508810592353e+03,5.374519901193e+02,0,0.000000000000e+00,9.254574894934e+01,0.03833722
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.001,0.01,True,236913,5.87215560,0,1.095636822270e+02,1.502775692570e+03,5.371054758915e+02,0,0.000000000000e+00,9.227010963289e+01,0.03843777
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.001,0.1,True,236913,5.87215560,0,1.100485355120e+02,1.446701671829e+03,5.338901631576e+02,0,0.000000000000e+00,8.970796981976e+01,0.03939809
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.001,1.0,True,236913,5.87215560,0,1.147604379357e+02,1.121486067680e+03,5.154794057673e+02,0,0.000000000000e+00,7.480018763537e+01,0.04605038
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.01,0.001,True,236913,5.87215560,0,1.095150535063e+02,1.508810592353e+03,5.374519901193e+02,0,0.000000000000e+00,6.126725978871e+01,0.03836604
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.01,0.01,True,236913,5.87215560,0,1.095636822270e+02,1.502775692570e+03,5.371054758915e+02,0,0.000000000000e+00,6.108482592260e+01,0.03846666
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.01,0.1,True,236913,5.87215560,0,1.100485355120e+02,1.446701671829e+03,5.338901631576e+02,0,0.000000000000e+00,5.938905281508e+01,0.03942760
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.01,1.0,True,236913,5.87215560,0,1.147604379357e+02,1.121486067680e+03,5.154794057673e+02,0,0.000000000000e+00,4.952213216721e+01,0.04608421
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.001,True,236913,5.87215560,0,1.095150535063e+02,1.508810592353e+03,5.374519901193e+02,0,0.000000000000e+00,2.915610562568e+01,0.03843752
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.01,True,236913,5.87215560,0,1.095636822270e+02,1.502775692570e+03,5.371054758915e+02,0,0.000000000000e+00,2.906934173297e+01,0.03853830
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,0.1,True,236913,5.87215560,0,1.100485355120e+02,1.446701671829e+03,5.338901631576e+02,0,0.000000000000e+00,2.826284459847e+01,0.03950075
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,0.1,1.0,True,236913,5.87215560,0,1.147604379357e+02,1.121486067680e+03,5.154794057673e+02,0,0.000000000000e+00,2.357011368390e+01,0.04616808
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,1.0,0.001,True,236913,5.87215560,0,1.095150535063e+02,1.508810592353e+03,5.374519901193e+02,0,0.000000000000e+00,4.570596751584e+00,0.03863000
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,1.0,0.01,True,236913,5.87215560,0,1.095636822270e+02,1.502775692570e+03,5.371054758915e+02,0,0.000000000000e+00,4.557018286828e+00,0.03873120
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,1.0,0.1,True,236913,5.87215560,0,1.100485355120e+02,1.446701671829e+03,5.338901631576e+02,0,0.000000000000e+00,4.430801190155e+00,0.03969772
SIWKL_inverse_sqrt_G_beta_true_uncapped,31,1.0,1.0,True,236913,5.87215560,0,1.147604379357e+02,1.121486067680e+03,5.154794057673e+02,0,0.000000000000e+00,3.696351754383e+00,0.04639372
