method,k,alpha,beta,sample,class,silhouette_value
SIWKL,15,0.1,0.1,sample06.pathological,pathological,0.08956110161572692
SIWKL,15,0.1,0.1,sample07.pathological,pathological,0.09588924039090524
SIWKL,15,0.1,0.1,sample08.pathological,pathological,0.09588382446804641
SIWKL,15,0.1,0.1,sample09.pathological,pathological,0.09624163235900965
SIWKL,15,0.1,0.1,sample10.pathological,pathological,0.08717382074891614
SIWKL,15,0.1,0.01,sample01.functional,functional,-0.006687599050558963
SIWKL,15,0.1,0.01,sample02.functional,functional,-0.009003683732964523
SIWKL,15,0.1,0.01,sample03.functional,functional,-0.010563615536587072
SIWKL,15,0.1,0.01,sample04.functional,functional,0.0019319700502897891
SIWKL,15,0.1,0.01,sample05.functional,functional,-0.0069412591222572685
SIWKL,15,0.1,0.01,sample06.pathological,pathological,0.08933817480187127
SIWKL,15,0.1,0.01,sample07.pathological,pathological,0.09564903844901262
SIWKL,15,0.1,0.01,sample08.pathological,pathological,0.09564554902678611
SIWKL,15,0.1,0.01,sample09.pathological,pathological,0.09598893583528022
SIWKL,15,0.1,0.01,sample10.pathological,pathological,0.08694767480918174
SIWKL,15,0.1,0.001,sample01.functional,functional,-0.006687254253335033
SIWKL,15,0.1,0.001,sample02.functional,functional,-0.009003625931679873
SIWKL,15,0.1,0.001,sample03.functional,functional,-0.01056196305221158
SIWKL,15,0.1,0.001,sample04.functional,functional,0.0019310788921084127
SIWKL,15,0.1,0.001,sample05.functional,functional,-0.006939758445210526
SIWKL,15,0.1,0.001,sample06.pathological,pathological,0.08931478009312031
SIWKL,15,0.1,0.001,sample07.pathological,pathological,0.09562381494499739
SIWKL,15,0.1,0.001,sample08.pathological,pathological,0.09562052847584296
SIWKL,15,0.1,0.001,sample09.pathological,pathological,0.09596240587055836
SIWKL,15,0.1,0.001,sample10.pathological,pathological,0.08692394006303378
SIWKL,15,0.1,0.0001,sample01.functional,functional,-0.006687220562392018
SIWKL,15,0.1,0.0001,sample02.functional,functional,-0.009003621082483093
SIWKL,15,0.1,0.0001,sample03.functional,functional,-0.010561797924125203
SIWKL,15,0.1,0.0001,sample04.functional,functional,0.0019309883752366285
SIWKL,15,0.1,0.0001,sample05.functional,functional,-0.006939608367601179
SIWKL,15,0.1,0.0001,sample06.pathological,pathological,0.08931242889712811
SIWKL,15,0.1,0.0001,sample07.pathological,pathological,0.09562127978949563
SIWKL,15,0.1,0.0001,sample08.pathological,pathological,0.09561801372526198
SIWKL,15,0.1,0.0001,sample09.pathological,pathological,0.0959597394651839
SIWKL,15,0.1,0.0001,sample10.pathological,pathological,0.08692155466962109
SIWKL,15,0.1,1e-06,sample01.functional,functional,-0.006687216865215794
SIWKL,15,0.1,1e-06,sample02.functional,functional,-0.009003620559485205
SIWKL,15,0.1,1e-06,sample03.functional,functional,-0.010561779761394385
SIWKL,15,0.1,1e-06,sample04.functional,functional,0.0019309784027155415
SIWKL,15,0.1,1e-06,sample05.functional,functional,-0.006939591858961765
SIWKL,15,0.1,1e-06,sample06.pathological,pathological,0.0893121701345799
SIWKL,15,0.1,1e-06,sample07.pathological,pathological,0.09562100077933329
SIWKL,15,0.1,1e-06,sample08.pathological,pathological,0.09561773696086585
SIWKL,15,0.1,1e-06,sample09.pathological,pathological,0.09595944601079383
SIWKL,15,0.1,1e-06,sample10.pathological,pathological,0.08692129214319233
SIWKL,15,0.01,1.0,sample01.functional,functional,-0.0033635219516773927
SIWKL,15,0.01,1.0,sample02.functional,functional,-0.005411256517572753
SIWKL,15,0.01,1.0,sample03.functional,functional,-0.007107361624931211
SIWKL,15,0.01,1.0,sample04.functional,functional,0.005873030764344057
SIWKL,15,0.01,1.0,sample05.functional,functional,-0.003177317678324474
SIWKL,15,0.01,1.0,sample06.pathological,pathological,0.08748166579787077
SIWKL,15,0.01,1.0,sample07.pathological,pathological,0.0935240262205219
SIWKL,15,0.01,1.0,sample08.pathological,pathological,0.09374348764155403
SIWKL,15,0.01,1.0,sample09.pathological,pathological,0.09454212158782838
SIWKL,15,0.01,1.0,sample10.pathological,pathological,0.08456394869945434
SIWKL,15,0.01,0.1,sample01.functional,functional,-0.00336140551195642
SIWKL,15,0.01,0.1,sample02.functional,functional,-0.005432263058487095
SIWKL,15,0.01,0.1,sample03.functional,functional,-0.00702367017478067
SIWKL,15,0.01,0.1,sample04.functional,functional,0.005782517701862487
SIWKL,15,0.01,0.1,sample05.functional,functional,-0.003120584244936924
SIWKL,15,0.01,0.1,sample06.pathological,pathological,0.08601360344244174
SIWKL,15,0.01,0.1,sample07.pathological,pathological,0.09195335546350825
SIWKL,15,0.01,0.1,sample08.pathological,pathological,0.09218194099877382
SIWKL,15,0.01,0.1,sample09.pathological,pathological,0.09287092699577895
SIWKL,15,0.01,0.1,sample10.pathological,pathological,0.08308561771908637
SIWKL,15,0.01,0.01,sample01.functional,functional,-0.0033681611721318974
SIWKL,15,0.01,0.01,sample02.functional,functional,-0.005442424867543852
SIWKL,15,0.01,0.01,sample03.functional,functional,-0.007018616290258276
SIWKL,15,0.01,0.01,sample04.functional,functional,0.005762427172103995
SIWKL,15,0.01,0.01,sample05.functional,functional,-0.003117855604159069
SIWKL,15,0.01,0.01,sample06.pathological,pathological,0.08580081381187325
SIWKL,15,0.01,0.01,sample07.pathological,pathological,0.09172443146397141
SIWKL,15,0.01,0.01,sample08.pathological,pathological,0.09195443193405294
SIWKL,15,0.01,0.01,sample09.pathological,pathological,0.09262778875828566
SIWKL,15,0.01,0.01,sample10.pathological,pathological,0.08287113304493314
SIWKL,15,0.01,0.001,sample01.functional,functional,-0.0033689595003949936
SIWKL,15,0.01,0.001,sample02.functional,functional,-0.005443580668767293
SIWKL,15,0.01,0.001,sample03.functional,functional,-0.0070181744852094155
SIWKL,15,0.01,0.001,sample04.functional,functional,0.005760231401984215
SIWKL,15,0.01,0.001,sample05.functional,functional,-0.0031176366073925616
SIWKL,15,0.01,0.001,sample06.pathological,pathological,0.0857784775893124
SIWKL,15,0.01,0.001,sample07.pathological,pathological,0.09170038561524302
SIWKL,15,0.01,0.001,sample08.pathological,pathological,0.09193053567647197
SIWKL,15,0.01,0.001,sample09.pathological,pathological,0.09260225669746804
SIWKL,15,0.01,0.001,sample10.pathological,pathological,0.08284861596582063
SIWKL,15,0.01,0.0001,sample01.functional,functional,-0.0033690406525122034
SIWKL,15,0.01,0.0001,sample02.functional,functional,-0.00544369774643453
SIWKL,15,0.01,0.0001,sample03.functional,functional,-0.007018130993242227
SIWKL,15,0.01,0.0001,sample04.functional,functional,0.0057600098271825394
SIWKL,15,0.01,0.0001,sample05.functional,functional,-0.0031176152879880867
SIWKL,15,0.01,0.0001,sample06.pathological,pathological,0.08577623271802355
SIWKL,15,0.01,0.0001,sample07.pathological,pathological,0.09169796875548716
SIWKL,15,0.01,0.0001,sample08.pathological,pathological,0.09192813386198544
SIWKL,15,0.01,0.0001,sample09.pathological,pathological,0.092599690529923
SIWKL,15,0.01,0.0001,sample10.pathological,pathological,0.08284635288719308
SIWKL,15,0.01,1e-06,sample01.functional,functional,-0.003369049593998861
SIWKL,15,0.01,1e-06,sample02.functional,functional,-0.005443710641721671
SIWKL,15,0.01,1e-06,sample03.functional,functional,-0.007018126216831484
SIWKL,15,0.01,1e-06,sample04.functional,functional,0.0057599854316231274
SIWKL,15,0.01,1e-06,sample05.functional,functional,-0.0031176129493449105
SIWKL,15,0.01,1e-06,sample06.pathological,pathological,0.08577598565651116
SIWKL,15,0.01,1e-06,sample07.pathological,pathological,0.09169770276378032
SIWKL,15,0.01,1e-06,sample08.pathological,pathological,0.0919278695262209
SIWKL,15,0.01,1e-06,sample09.pathological,pathological,0.09259940810669202
SIWKL,15,0.01,1e-06,sample10.pathological,pathological,0.08284610382151271
SIWKL,15,0.001,1.0,sample01.functional,functional,-0.0020001415937000353
SIWKL,15,0.001,1.0,sample02.functional,functional,-0.003949141532959739
SIWKL,15,0.001,1.0,sample03.functional,functional,-0.005649466532119393
SIWKL,15,0.001,1.0,sample04.functional,functional,0.007432246178450261
SIWKL,15,0.001,1.0,sample05.functional,functional,-0.0016179605392705138
SIWKL,15,0.001,1.0,sample06.pathological,pathological,0.08604835039294934
SIWKL,15,0.001,1.0,sample07.pathological,pathological,0.09192723745225749
SIWKL,15,0.001,1.0,sample08.pathological,pathological,0.09224232265027356
SIWKL,15,0.001,1.0,sample09.pathological,pathological,0.09318239478764838
SIWKL,15,0.001,1.0,sample10.pathological,pathological,0.08290735826802591
SIWKL,15,0.001,0.1,sample01.functional,functional,-0.0020296108348497725
SIWKL,15,0.001,0.1,sample02.functional,functional,-0.004003600258281106
SIWKL,15,0.001,0.1,sample03.functional,functional,-0.005599145196056921
SIWKL,15,0.001,0.1,sample04.functional,functional,0.007306048839058303
SIWKL,15,0.001,0.1,sample05.functional,functional,-0.0015964394884121287
SIWKL,15,0.001,0.1,sample06.pathological,pathological,0.08460945225084163
SIWKL,15,0.001,0.1,sample07.pathological,pathological,0.09038918810899033
SIWKL,15,0.001,0.1,sample08.pathological,pathological,0.09071183916538465
SIWKL,15,0.001,0.1,sample09.pathological,pathological,0.09153867072350849
SIWKL,15,0.001,0.1,sample10.pathological,pathological,0.0814627251854141
SIWKL,15,0.001,0.01,sample01.functional,functional,-0.0020407955579588156
SIWKL,15,0.001,0.01,sample02.functional,functional,-0.004018460105476037
SIWKL,15,0.001,0.01,sample03.functional,functional,-0.0055987870345397504
SIWKL,15,0.001,0.01,sample04.functional,functional,0.007280983564994502
SIWKL,15,0.001,0.01,sample05.functional,functional,-0.001598632264065695
SIWKL,15,0.001,0.01,sample06.pathological,pathological,0.08440070112038354
SIWKL,15,0.001,0.01,sample07.pathological,pathological,0.09016478346653273
SIWKL,15,0.001,0.01,sample08.pathological,pathological,0.09048863572166384
SIWKL,15,0.001,0.01,sample09.pathological,pathological,0.09129933237302931
SIWKL,15,0.001,0.01,sample10.pathological,pathological,0.08125290846806893
SIWKL,15,0.001,0.001,sample01.functional,functional,-0.002042057024378408
SIWKL,15,0.001,0.001,sample02.functional,functional,-0.004020107293722866
SIWKL,15,0.001,0.001,sample03.functional,functional,-0.005598836483066018
SIWKL,15,0.001,0.001,sample04.functional,functional,0.007278267925299384
SIWKL,15,0.001,0.001,sample05.functional,functional,-0.0015989277140011488
SIWKL,15,0.001,0.001,sample06.pathological,pathological,0.0843787866210958
SIWKL,15,0.001,0.001,sample07.pathological,pathological,0.09014120956925964
SIWKL,15,0.001,0.001,sample08.pathological,pathological,0.09046518911925705
SIWKL,15,0.001,0.001,sample09.pathological,pathological,0.09127419706694291
SIWKL,15,0.001,0.001,sample10.pathological,pathological,0.08123087885464776
SIWKL,15,0.001,0.0001,sample01.functional,functional,-0.0020421847054243906
SIWKL,15,0.001,0.0001,sample02.functional,functional,-0.004020273739634449
SIWKL,15,0.001,0.0001,sample03.functional,functional,-0.005598842347044613
SIWKL,15,0.001,0.0001,sample04.functional,functional,0.007277994125406235
SIWKL,15,0.001,0.0001,sample05.functional,functional,-0.0015989580764465654
SIWKL,15,0.001,0.0001,sample06.pathological,pathological,0.08437658411220823
SIWKL,15,0.001,0.0001,sample07.pathological,pathological,0.09013884011749336
SIWKL,15,0.001,0.0001,sample08.pathological,pathological,0.09046283247331785
SIWKL,15,0.001,0.0001,sample09.pathological,pathological,0.09127167075316557
SIWKL,15,0.001,0.0001,sample10.pathological,pathological,0.08122866474239279
SIWKL,15,0.001,1e-06,sample01.functional,functional,-0.0020421987674958653
SIWKL,15,0.001,1e-06,sample02.functional,functional,-0.004020292067992998
SIWKL,15,0.001,1e-06,sample03.functional,functional,-0.0055988430023638965
SIWKL,15,0.001,1e-06,sample04.functional,functional,0.007277963982426225
SIWKL,15,0.001,1e-06,sample05.functional,functional,-0.0015989614254559663
SIWKL,15,0.001,1e-06,sample06.pathological,pathological,0.08437634171268356
SIWKL,15,0.001,1e-06,sample07.pathological,pathological,0.09013857934304269
SIWKL,15,0.001,1e-06,sample08.pathological,pathological,0.09046257310836135
SIWKL,15,0.001,1e-06,sample09.pathological,pathological,0.0912713927158414
SIWKL,15,0.001,1e-06,sample10.pathological,pathological,0.08122842106546915
SIWKL,15,0.0001,1.0,sample01.functional,functional,-0.0013003762020301365
SIWKL,15,0.0001,1.0,sample02.functional,functional,-0.0031989641804903743
SIWKL,15,0.0001,1.0,sample03.functional,functional,-0.004901256713834455
SIWKL,15,0.0001,1.0,sample04.functional,functional,0.008229534222081353
SIWKL,15,0.0001,1.0,sample05.functional,functional,-0.0008191649416026729
SIWKL,15,0.0001,1.0,sample06.pathological,pathological,0.08531527446355024
SIWKL,15,0.0001,1.0,sample07.pathological,pathological,0.09110993564452251
SIWKL,15,0.0001,1.0,sample08.pathological,pathological,0.09147426178012652
SIWKL,15,0.0001,1.0,sample09.pathological,pathological,0.09248731413629004
SIWKL,15,0.0001,1.0,sample10.pathological,pathological,0.08205950595907957
SIWKL,15,0.0001,0.1,sample01.functional,functional,-0.0013461584581936719
SIWKL,15,0.0001,0.1,sample02.functional,functional,-0.0032706903994748214
SIWKL,15,0.0001,0.1,sample03.functional,functional,-0.004868168048945574
SIWKL,15,0.0001,0.1,sample04.functional,functional,0.008085039371755037
SIWKL,15,0.0001,0.1,sample05.functional,functional,-0.0008157723972783902
SIWKL,15,0.0001,0.1,sample06.pathological,pathological,0.08389134801151822
SIWKL,15,0.0001,0.1,sample07.pathological,pathological,0.08958865426101043
SIWKL,15,0.0001,0.1,sample08.pathological,pathological,0.08995973122280061
SIWKL,15,0.0001,0.1,sample09.pathological,pathological,0.09085768086595264
SIWKL,15,0.0001,0.1,sample10.pathological,pathological,0.08063219392056349
SIWKL,15,0.0001,0.01,sample01.functional,functional,-0.001359630441494565
SIWKL,15,0.0001,0.01,sample02.functional,functional,-0.003287975020907377
SIWKL,15,0.0001,0.01,sample03.functional,functional,-0.004870234444812207
SIWKL,15,0.0001,0.01,sample04.functional,functional,0.008057423177629737
SIWKL,15,0.0001,0.01,sample05.functional,functional,-0.0008204987828939006
SIWKL,15,0.0001,0.01,sample06.pathological,pathological,0.08368467018852978
SIWKL,15,0.0001,0.01,sample07.pathological,pathological,0.08936657271164654
SIWKL,15,0.0001,0.01,sample08.pathological,pathological,0.08973873906951224
SIWKL,15,0.0001,0.01,sample09.pathological,pathological,0.09062029177380086
SIWKL,15,0.0001,0.01,sample10.pathological,pathological,0.08042477665810932
SIWKL,15,0.0001,0.001,sample01.functional,functional,-0.0013611310787366973
SIWKL,15,0.0001,0.001,sample02.functional,functional,-0.003289875821916492
SIWKL,15,0.0001,0.001,sample03.functional,functional,-0.004870537538511435
SIWKL,15,0.0001,0.001,sample04.functional,functional,0.008054440961929385
SIWKL,15,0.0001,0.001,sample05.functional,functional,-0.0008210590748296209
SIWKL,15,0.0001,0.001,sample06.pathological,pathological,0.08366297219676885
SIWKL,15,0.0001,0.001,sample07.pathological,pathological,0.08934324141267364
SIWKL,15,0.0001,0.001,sample08.pathological,pathological,0.08971552340248365
SIWKL,15,0.0001,0.001,sample09.pathological,pathological,0.09059535999543968
SIWKL,15,0.0001,0.001,sample10.pathological,pathological,0.08040299761551956
SIWKL,15,0.0001,0.0001,sample01.functional,functional,-0.0013612827879170017
SIWKL,15,0.0001,0.0001,sample02.functional,functional,-0.0032900677475296448
SIWKL,15,0.0001,0.0001,sample03.functional,functional,-0.004870568886008835
SIWKL,15,0.0001,0.0001,sample04.functional,functional,0.00805414038232375
SIWKL,15,0.0001,0.0001,sample05.functional,functional,-0.0008211160435563874
SIWKL,15,0.0001,0.0001,sample06.pathological,pathological,0.08366079143622361
SIWKL,15,0.0001,0.0001,sample07.pathological,pathological,0.08934089633014754
SIWKL,15,0.0001,0.0001,sample08.pathological,pathological,0.08971318995435917
SIWKL,15,0.0001,0.0001,sample09.pathological,pathological,0.09059285412591019
SIWKL,15,0.0001,0.0001,sample10.pathological,pathological,0.08040080867333643
SIWKL,15,0.0001,1e-06,sample01.functional,functional,-0.0013612994943237031
SIWKL,15,0.0001,1e-06,sample02.functional,functional,-0.0032900888799779118
SIWKL,15,0.0001,1e-06,sample03.functional,functional,-0.0048705723458448025
SIWKL,15,0.0001,1e-06,sample04.functional,functional,0.008054107292211166
SIWKL,15,0.0001,1e-06,sample05.functional,functional,-0.0008211223206209178
