method,weight_function,capped_weight,k,alpha,beta,sample,class,silhouette_value
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,0.0001,1.0,sample08.pathological,pathological,0.06364910589311501
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,0.0001,1.0,sample09.pathological,pathological,0.062344320130039425
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,0.0001,1.0,sample10.pathological,pathological,0.055211560218252034
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample01.functional,functional,0.0010378369411687548
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample02.functional,functional,-0.001248137155782143
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample03.functional,functional,-0.0010206383879363577
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample04.functional,functional,0.008767090275096031
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample05.functional,functional,0.0019916047422255
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample06.pathological,pathological,0.0581400028839311
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample07.pathological,pathological,0.06270095321706609
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample08.pathological,pathological,0.06326631121515905
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample09.pathological,pathological,0.0619977097978136
SIWKL_inverse_sqrt_G,1/sqrt(G),True,15,1e-06,1.0,sample10.pathological,pathological,0.054787788113678106
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample01.functional,functional,-0.04064884054212663
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample02.functional,functional,-0.04139671269928281
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample03.functional,functional,-0.04409637418339372
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample04.functional,functional,-0.038614202244400396
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample05.functional,functional,-0.04674128249877792
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample06.pathological,pathological,0.11370419455777968
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample07.pathological,pathological,0.11956107847920434
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample08.pathological,pathological,0.11792685958043964
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample09.pathological,pathological,0.11955512166571676
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1.0,1.0,sample10.pathological,pathological,0.11640504400723976
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample01.functional,functional,-0.03856284409781766
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample02.functional,functional,-0.0387635512412017
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample03.functional,functional,-0.04191209555863377
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample04.functional,functional,-0.036007650866247444
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample05.functional,functional,-0.043734112550268225
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample06.pathological,pathological,0.110790595688938
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample07.pathological,pathological,0.11639628917578987
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample08.pathological,pathological,0.11485691601667228
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample09.pathological,pathological,0.11676345806694496
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.1,1.0,sample10.pathological,pathological,0.11303422065886216
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample01.functional,functional,-0.037847431448058626
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample02.functional,functional,-0.03781109385387578
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample03.functional,functional,-0.04112164758705311
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample04.functional,functional,-0.03508675966997238
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample05.functional,functional,-0.042680614747866864
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample06.pathological,pathological,0.10979684543796961
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample07.pathological,pathological,0.11529733004609681
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample08.pathological,pathological,0.11379483701431285
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample09.pathological,pathological,0.11581471539249553
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.01,1.0,sample10.pathological,pathological,0.11187476165106627
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample01.functional,functional,-0.03756193624409333
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample02.functional,functional,-0.03742787577321142
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample03.functional,functional,-0.04080345429725753
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample04.functional,functional,-0.03471778893219106
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample05.functional,functional,-0.042259380485958634
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample06.pathological,pathological,0.1094008814813443
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample07.pathological,pathological,0.1148582418751993
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample08.pathological,pathological,0.1133708468495591
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample09.pathological,pathological,0.1154373484653464
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.001,1.0,sample10.pathological,pathological,0.1114121161378239
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample01.functional,functional,-0.03741594010280807
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample02.functional,functional,-0.037231741524644535
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample03.functional,functional,-0.04064055034453239
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample04.functional,functional,-0.03452904895030754
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample05.functional,functional,-0.04204402149808268
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample06.pathological,pathological,0.109198547883454
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample07.pathological,pathological,0.11463379846213897
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample08.pathological,pathological,0.11315415655452717
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample09.pathological,pathological,0.11524462734311526
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,0.0001,1.0,sample10.pathological,pathological,0.11117563952666594
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample01.functional,functional,-0.0372693679342907
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample02.functional,functional,-0.0370348499457288
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample03.functional,functional,-0.04047698783899314
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample04.functional,functional,-0.03433959406208027
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample05.functional,functional,-0.04182789076270711
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample06.pathological,pathological,0.10899553099762427
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample07.pathological,pathological,0.1144085854390363
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample08.pathological,pathological,0.11293673171370838
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample09.pathological,pathological,0.11505129294116836
SIWKL_inverse_sqrt_G,1/sqrt(G),True,21,1e-06,1.0,sample10.pathological,pathological,0.11093832762311555
