,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,0.9999999999986866,0.9876343135996967,0.987692671631321,0.9875840361547474,0.9875347687343917,0.9883728036912881,0.9886168948764821,0.9888888473474305,0.9887240013291226,0.9885530084121068
sample02.functional,0.9876343135996967,0.9999999999981121,0.9877457658190093,0.9876533906043653,0.9876403453860407,0.9885351960500148,0.98855377680969,0.988878223441992,0.9886810883180353,0.9884898866777583
sample03.functional,0.987692671631321,0.9877457658190093,0.9999999999986963,0.9878930797756779,0.987658300963129,0.988485007394795,0.988612429622685,0.9889369923036649,0.9887397953334943,0.9885485310352297
sample04.functional,0.9875840361547474,0.9876533906043653,0.9878930797756779,1.0000000000017673,0.9875417553499892,0.9883760108503927,0.9885033510114654,0.9889083046498711,0.9886306363252174,0.9884394661085725
sample05.functional,0.9875347687343917,0.9876403453860407,0.987658300963129,0.9875417553499892,1.0000000000010962,0.9885523965604157,0.9886072283433878,0.9889960985794294,0.9889359440773278,0.9883902588974486
sample06.pathological,0.9883728036912881,0.9885351960500148,0.988485007394795,0.9883760108503927,0.9885523965604157,1.0000000000018332,0.990806547512197,0.9906636550593559,0.9912196994839223,0.990706304702613
sample07.pathological,0.9886168948764821,0.98855377680969,0.988612429622685,0.9885033510114654,0.9886072283433878,0.990806547512197,1.0000000000000655,0.9911976688709883,0.991226074666831,0.9907851930252773
sample08.pathological,0.9888888473474305,0.988878223441992,0.9889369923036649,0.9889083046498711,0.9889960985794294,0.9906636550593559,0.9911976688709883,0.9999999999971771,0.9916268957148964,0.9916290278836178
sample09.pathological,0.9887240013291226,0.9886810883180353,0.9887397953334943,0.9886306363252174,0.9889359440773278,0.9912196994839223,0.991226074666831,0.9916268957148964,0.9999999999999137,0.9908157122586134
sample10.pathological,0.9885530084121068,0.9884898866777583,0.9885485310352297,0.9884394661085725,0.9883902588974486,0.990706304702613,0.9907851930252773,0.9916290278836178,0.9908157122586134,1.0000000000007356
