,sample01.functional,sample02.functional,sample03.functional,sample04.functional,sample05.functional,sample06.pathological,sample07.pathological,sample08.pathological,sample09.pathological,sample10.pathological
sample01.functional,0.0,0.0052805658800267885,0.005280757754848486,0.0053109576751450005,0.005352800657859258,0.005041709589795995,0.004921630136323074,0.004881706528920726,0.0048706349030229745,0.004954974808626167
sample02.functional,0.0052805658800267885,0.0,0.00523467650319831,0.005231074918545797,0.005254840226580737,0.0049260007434815956,0.004917536341395579,0.004834838036587685,0.004825724039516199,0.004950928981820146
sample03.functional,0.005280757754848486,0.00523467650319831,0.0,0.0051912147537875875,0.005292728133706293,0.004984580902718361,0.0049296094391048095,0.004858630786449658,0.004839719282650368,0.004963163019285011
sample04.functional,0.0053109576751450005,0.005231074918545797,0.0051912147537875875,0.0,0.005282689457979495,0.005002165905904632,0.004945393899399297,0.004847438835452911,0.004856122953477482,0.004981327672522573
sample05.functional,0.005352800657859258,0.005254840226580737,0.005292728133706293,0.005282689457979495,0.0,0.004932285485266474,0.004919045670423117,0.0048102276162512725,0.0047589717938001375,0.005003157966577687
sample06.pathological,0.005041709589795995,0.0049260007434815956,0.004984580902718361,0.005002165905904632,0.004932285485266474,0.0,0.004058885566915804,0.004178563671290658,0.003865807647346897,0.004140477683569954
sample07.pathological,0.004921630136323074,0.004917536341395579,0.0049296094391048095,0.004945393899399297,0.004919045670423117,0.004058885566915804,0.0,0.003943981380000627,0.003896217312413297,0.00407921506697817
sample08.pathological,0.004881706528920726,0.004834838036587685,0.004858630786449658,0.004847438835452911,0.0048102276162512725,0.004178563671290658,0.003943981380000627,0.0,0.003750647163651921,0.0037917416861882325
sample09.pathological,0.0048706349030229745,0.004825724039516199,0.004839719282650368,0.004856122953477482,0.0047589717938001375,0.003865807647346897,0.003896217312413297,0.003750647163651921,0.0,0.004114821675214486
sample10.pathological,0.004954974808626167,0.004950928981820146,0.004963163019285011,0.004981327672522573,0.005003157966577687,0.004140477683569954,0.00407921506697817,0.0037917416861882325,0.004114821675214486,0.0
