method,weight_function,capped_weight,k,alpha,beta,vocab_size,avg_real_kmers,alpha_pseudo_mass,alpha_pseudo_real_ratio,silhouette_score,mean_functional_silhouette,mean_pathological_silhouette,mean_within_class_distance,mean_between_class_distance,within_between_ratio,dunn_index,nearest_neighbor_accuracy,matrix_file
SIWKL_inverse_sqrt_G,1/sqrt(G),False,31,0.001,1.0,236913,227854.9,236.913,0.0010397538082349777,0.04605037701974664,-0.06144688064209238,0.15354763468158567,0.05884306822794231,0.061553292095286045,0.9559694733606086,0.8927489757542832,0.5,SIWKL_inverse_sqrt_G_matrix_k31_alpha0p001_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,31,0.0001,1.0,236913,227854.9,23.691300000000002,0.00010397538082349777,0.04603307467208456,-0.061373605524659494,0.1534397548688286,0.07850866361936873,0.08212359582352569,0.955981808055202,0.8927012473071074,0.5,SIWKL_inverse_sqrt_G_matrix_k31_alpha0p0001_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,31,1e-06,1.0,236913,227854.9,0.23691299999999998,1.0397538082349777e-06,0.04601572233320694,-0.061300093381883525,0.1533315380482974,0.11775630182451,0.12317679747147255,0.9559941826851123,0.8926534095399448,0.5,SIWKL_inverse_sqrt_G_matrix_k31_alpha1em06_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,41,1.0,1.0,245243,227844.9,245243.0,1.0763594006273567,0.05167689982361394,-0.07303442452749745,0.17638822417472533,0.0037668583836037916,0.0039600910393580765,0.9512049965938137,0.8827512103874772,0.5,SIWKL_inverse_sqrt_G_matrix_k41_alpha1p0_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,41,0.1,1.0,245243,227844.9,24524.300000000003,0.10763594006273568,0.05166976019472078,-0.07268785190264562,0.17602737229208718,0.02441683012525709,0.025669938671327417,0.9511838122359827,0.8818431025683616,0.5,SIWKL_inverse_sqrt_G_matrix_k41_alpha0p1_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,41,0.01,1.0,245243,227844.9,2452.43,0.010763594006273566,0.05166717152545488,-0.07256017726771298,0.17589452031862277,0.051489170186386726,0.05413211704598596,0.9511759930365551,0.881513692003424,0.5,SIWKL_inverse_sqrt_G_matrix_k41_alpha0p01_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,41,0.001,1.0,245243,227844.9,245.243,0.0010763594006273566,0.05166613877913234,-0.07250869632132637,0.17584097387959105,0.07781894394890036,0.08181367388466854,0.9511728327785465,0.8813822029671354,0.5,SIWKL_inverse_sqrt_G_matrix_k41_alpha0p001_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,41,0.0001,1.0,245243,227844.9,24.5243,0.00010763594006273566,0.05166561247548699,-0.07248236108861036,0.17581358603958436,0.10384156771538766,0.10917231943057853,0.9511712149838436,0.8813151380865396,0.5,SIWKL_inverse_sqrt_G_matrix_k41_alpha0p0001_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,41,1e-06,1.0,245243,227844.9,0.245243,1.0763594006273565e-06,0.05166508540686069,-0.07245594627439925,0.17578611708812059,0.15577181034128612,0.1637687029073285,0.9511695920888646,0.8812479176418161,0.5,SIWKL_inverse_sqrt_G_matrix_k41_alpha1em06_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,51,1.0,1.0,250512,227834.9,250512.0,1.0995330390559128,0.055469944048294105,-0.0792985467348805,0.1902384348314687,0.004598817032471637,0.004851337371175737,0.9479483038626727,0.880128843423521,0.5,SIWKL_inverse_sqrt_G_matrix_k51_alpha1p0_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,51,0.1,1.0,250512,227834.9,25051.2,0.10995330390559128,0.05546763690242886,-0.07920068774872137,0.1901359615535791,0.030089199748079398,0.03174160635385235,0.947941935031514,0.8799385974670166,0.5,SIWKL_inverse_sqrt_G_matrix_k51_alpha0p1_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,51,0.01,1.0,250512,227834.9,2505.12,0.010995330390559128,0.055466774875344974,-0.07916327448199265,0.1900968242326826,0.06357653064980079,0.06706813256793617,0.9479394790872014,0.8798697680499178,0.5,SIWKL_inverse_sqrt_G_matrix_k51_alpha0p01_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,51,0.001,1.0,250512,227834.9,250.512,0.0010995330390559128,0.05546643266738397,-0.07914806784876485,0.19008093318353275,0.09611174141741441,0.10139027400435778,0.947938472020339,0.8798429839891931,0.5,SIWKL_inverse_sqrt_G_matrix_k51_alpha0p001_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,51,0.0001,1.0,250512,227834.9,25.0512,0.0001099533039055913,0.05546625867661283,-0.07914027754866493,0.1900727949018906,0.1282572621879713,0.1353013259493038,0.947937954695493,0.8798294428901596,0.5,SIWKL_inverse_sqrt_G_matrix_k51_alpha0p0001_beta1p0_uncapped.txt
SIWKL_inverse_sqrt_G,1/sqrt(G),False,51,1e-06,1.0,250512,227834.9,0.250512,1.099533039055913e-06,0.055466084442898134,-0.07913246215053335,0.19006463103632965,0.1924027128506141,0.20296984343762145,0.9479374353941652,0.8798158977228069,0.5,SIWKL_inverse_sqrt_G_matrix_k51_alpha1em06_beta1p0_uncapped.txt
