method,k,alpha,beta,sample,class,silhouette_value
SIWKL,21,0.1,1.0,sample06.pathological,pathological,0.14535683762390023
SIWKL,21,0.1,1.0,sample07.pathological,pathological,0.15231133055734877
SIWKL,21,0.1,1.0,sample08.pathological,pathological,0.1517470792826027
SIWKL,21,0.1,1.0,sample09.pathological,pathological,0.15542168273224816
SIWKL,21,0.1,1.0,sample10.pathological,pathological,0.1489868579870701
SIWKL,21,0.01,1.0,sample01.functional,functional,-0.0438371945372421
SIWKL,21,0.01,1.0,sample02.functional,functional,-0.044031751102462546
SIWKL,21,0.01,1.0,sample03.functional,functional,-0.04724386701840024
SIWKL,21,0.01,1.0,sample04.functional,functional,-0.03971143475823762
SIWKL,21,0.01,1.0,sample05.functional,functional,-0.04963785585237422
SIWKL,21,0.01,1.0,sample06.pathological,pathological,0.14347020169402178
SIWKL,21,0.01,1.0,sample07.pathological,pathological,0.15024191894866587
SIWKL,21,0.01,1.0,sample08.pathological,pathological,0.14974822889945938
SIWKL,21,0.01,1.0,sample09.pathological,pathological,0.15362964590650394
SIWKL,21,0.01,1.0,sample10.pathological,pathological,0.14681000887056853
SIWKL,21,0.001,1.0,sample01.functional,functional,-0.04323894934049072
SIWKL,21,0.001,1.0,sample02.functional,functional,-0.04334879760649405
SIWKL,21,0.001,1.0,sample03.functional,functional,-0.0466889342904349
SIWKL,21,0.001,1.0,sample04.functional,functional,-0.039027131362450736
SIWKL,21,0.001,1.0,sample05.functional,functional,-0.04886023537390621
SIWKL,21,0.001,1.0,sample06.pathological,pathological,0.1427234852958629
SIWKL,21,0.001,1.0,sample07.pathological,pathological,0.14941917449313086
SIWKL,21,0.001,1.0,sample08.pathological,pathological,0.14895459776864353
SIWKL,21,0.001,1.0,sample09.pathological,pathological,0.15292168107340948
SIWKL,21,0.001,1.0,sample10.pathological,pathological,0.14594587083078234
SIWKL,21,0.0001,1.0,sample01.functional,functional,-0.042932848210418297
SIWKL,21,0.0001,1.0,sample02.functional,functional,-0.04299892089596797
SIWKL,21,0.0001,1.0,sample03.functional,functional,-0.04640448292320417
SIWKL,21,0.0001,1.0,sample04.functional,functional,-0.03867683807071932
SIWKL,21,0.0001,1.0,sample05.functional,functional,-0.048462458526754945
SIWKL,21,0.0001,1.0,sample06.pathological,pathological,0.14234201642301214
SIWKL,21,0.0001,1.0,sample07.pathological,pathological,0.1489985896604354
SIWKL,21,0.0001,1.0,sample08.pathological,pathological,0.14854898844703562
SIWKL,21,0.0001,1.0,sample09.pathological,pathological,0.15256021254876775
SIWKL,21,0.0001,1.0,sample10.pathological,pathological,0.1455041096947814
SIWKL,21,1e-06,1.0,sample01.functional,functional,-0.04262524572252732
SIWKL,21,1e-06,1.0,sample02.functional,functional,-0.04264731890017679
SIWKL,21,1e-06,1.0,sample03.functional,functional,-0.04611853680323556
SIWKL,21,1e-06,1.0,sample04.functional,functional,-0.0383248880118634
SIWKL,21,1e-06,1.0,sample05.functional,functional,-0.04806291822101707
SIWKL,21,1e-06,1.0,sample06.pathological,pathological,0.14195904078886984
SIWKL,21,1e-06,1.0,sample07.pathological,pathological,0.1485762898433868
SIWKL,21,1e-06,1.0,sample08.pathological,pathological,0.14814174679164066
SIWKL,21,1e-06,1.0,sample09.pathological,pathological,0.15219740803929618
SIWKL,21,1e-06,1.0,sample10.pathological,pathological,0.14506045620656977
SIWKL,31,1.0,1.0,sample01.functional,functional,-0.0725884644672682
SIWKL,31,1.0,1.0,sample02.functional,functional,-0.06948954013523359
SIWKL,31,1.0,1.0,sample03.functional,functional,-0.06918712662142558
SIWKL,31,1.0,1.0,sample04.functional,functional,-0.0670708128242774
SIWKL,31,1.0,1.0,sample05.functional,functional,-0.0808044951353031
SIWKL,31,1.0,1.0,sample06.pathological,pathological,0.19233650267769903
SIWKL,31,1.0,1.0,sample07.pathological,pathological,0.19781087902871822
